FileNames	Class	Clusters
knife_389.pcd	knife	7
chair_3314.pcd	chair	-1
lamp_1075.pcd	lamp	-1
table_4583.pcd	table	27
table_843.pcd	table	-1
airplane_2627.pcd	airplane	37
lamp_421.pcd	lamp	7
chair_1843.pcd	chair	-1
table_2042.pcd	table	24
table_2896.pcd	table	-1
table_4867.pcd	table	-1
airplane_812.pcd	airplane	31
chair_370.pcd	chair	13
airplane_380.pcd	airplane	-1
table_2337.pcd	table	-1
chair_5.pcd	chair	13
car_1219.pcd	car	10
lamp_102.pcd	lamp	-1
airplane_1147.pcd	airplane	-1
guitar_140.pcd	guitar	7
lamp_598.pcd	lamp	-1
lamp_1504.pcd	lamp	-1
table_442.pcd	table	-1
car_616.pcd	car	10
airplane_2171.pcd	airplane	-1
car_1378.pcd	car	10
car_1265.pcd	car	10
chair_1646.pcd	chair	-1
chair_1294.pcd	chair	13
chair_794.pcd	chair	-1
chair_3100.pcd	chair	-1
guitar_514.pcd	guitar	7
car_852.pcd	car	-1
airplane_1797.pcd	airplane	-1
table_4425.pcd	table	27
skateboard_125.pcd	skateboard	9
chair_1995.pcd	chair	-1
chair_2165.pcd	chair	-1
table_3060.pcd	table	27
lamp_76.pcd	lamp	-1
table_569.pcd	table	-1
airplane_548.pcd	airplane	-1
table_998.pcd	table	-1
chair_2708.pcd	chair	13
table_1885.pcd	table	-1
table_3103.pcd	table	-1
table_2728.pcd	table	-1
mug_104.pcd	mug	-1
chair_2031.pcd	chair	-1
chair_725.pcd	chair	-1
airplane_279.pcd	airplane	17
chair_3485.pcd	chair	13
chair_914.pcd	chair	4
pistol_100.pcd	pistol	-1
chair_270.pcd	chair	-1
airplane_2645.pcd	airplane	-1
lamp_727.pcd	lamp	7
chair_1497.pcd	chair	-1
motorbike_91.pcd	motorbike	11
airplane_266.pcd	airplane	-1
airplane_2036.pcd	airplane	37
table_4910.pcd	table	-1
chair_2205.pcd	chair	-1
table_3641.pcd	table	-1
chair_856.pcd	chair	13
table_3783.pcd	table	-1
table_1106.pcd	table	-1
guitar_647.pcd	guitar	7
table_1012.pcd	table	-1
table_3977.pcd	table	-1
table_256.pcd	table	-1
chair_821.pcd	chair	-1
knife_263.pcd	knife	-1
lamp_351.pcd	lamp	7
chair_2065.pcd	chair	13
car_1688.pcd	car	10
pistol_162.pcd	pistol	18
table_3010.pcd	table	-1
table_3113.pcd	table	-1
airplane_2085.pcd	airplane	-1
guitar_13.pcd	guitar	7
chair_769.pcd	chair	13
skateboard_64.pcd	skateboard	-1
table_3631.pcd	table	-1
car_1372.pcd	car	10
table_2020.pcd	table	-1
chair_1753.pcd	chair	13
guitar_170.pcd	guitar	7
chair_3350.pcd	chair	-1
lamp_1296.pcd	lamp	-1
table_2360.pcd	table	-1
airplane_1353.pcd	airplane	-1
table_3388.pcd	table	-1
table_1953.pcd	table	27
table_1946.pcd	table	-1
lamp_468.pcd	lamp	-1
table_1080.pcd	table	-1
chair_1434.pcd	chair	4
skateboard_0.pcd	skateboard	9
chair_2747.pcd	chair	-1
chair_1081.pcd	chair	13
car_1470.pcd	car	10
airplane_1390.pcd	airplane	-1
airplane_2209.pcd	airplane	32
skateboard_81.pcd	skateboard	9
mug_131.pcd	mug	-1
table_687.pcd	table	27
lamp_73.pcd	lamp	7
table_4171.pcd	table	-1
table_3469.pcd	table	27
table_4013.pcd	table	24
chair_1615.pcd	chair	-1
chair_1686.pcd	chair	13
table_3626.pcd	table	-1
airplane_1961.pcd	airplane	-1
airplane_426.pcd	airplane	38
chair_2904.pcd	chair	13
table_2136.pcd	table	-1
airplane_2114.pcd	airplane	-1
airplane_957.pcd	airplane	31
knife_109.pcd	knife	7
chair_2435.pcd	chair	4
car_280.pcd	car	-1
laptop_95.pcd	laptop	2
table_2659.pcd	table	27
mug_65.pcd	mug	1
table_1116.pcd	table	-1
airplane_1138.pcd	airplane	-1
chair_439.pcd	chair	-1
chair_2911.pcd	chair	-1
motorbike_168.pcd	motorbike	11
skateboard_47.pcd	skateboard	9
airplane_1756.pcd	airplane	-1
table_1497.pcd	table	24
chair_1856.pcd	chair	-1
car_1461.pcd	car	10
table_1516.pcd	table	-1
table_1814.pcd	table	-1
bag_53.pcd	bag	-1
car_449.pcd	car	10
pistol_1.pcd	pistol	18
chair_1031.pcd	chair	13
table_3056.pcd	table	3
table_2214.pcd	table	-1
chair_544.pcd	chair	-1
chair_49.pcd	chair	-1
airplane_2401.pcd	airplane	17
airplane_1965.pcd	airplane	-1
pistol_253.pcd	pistol	-1
chair_1555.pcd	chair	13
airplane_1189.pcd	airplane	-1
table_4006.pcd	table	-1
table_1842.pcd	table	-1
car_907.pcd	car	10
table_914.pcd	table	-1
table_3859.pcd	table	-1
chair_1930.pcd	chair	-1
pistol_139.pcd	pistol	-1
chair_2456.pcd	chair	4
table_2948.pcd	table	-1
pistol_23.pcd	pistol	18
table_4467.pcd	table	27
car_1390.pcd	car	10
skateboard_114.pcd	skateboard	9
guitar_305.pcd	guitar	7
table_1749.pcd	table	-1
table_1110.pcd	table	27
airplane_2481.pcd	airplane	17
laptop_179.pcd	laptop	2
table_3468.pcd	table	-1
table_3350.pcd	table	27
airplane_631.pcd	airplane	-1
guitar_641.pcd	guitar	7
table_2404.pcd	table	27
car_1173.pcd	car	-1
table_5047.pcd	table	-1
knife_122.pcd	knife	7
chair_3645.pcd	chair	13
table_1793.pcd	table	-1
car_82.pcd	car	10
laptop_289.pcd	laptop	2
guitar_332.pcd	guitar	7
table_4271.pcd	table	-1
car_1717.pcd	car	10
table_1454.pcd	table	-1
pistol_119.pcd	pistol	18
table_4525.pcd	table	-1
table_892.pcd	table	-1
car_703.pcd	car	10
table_1107.pcd	table	-1
chair_387.pcd	chair	-1
lamp_142.pcd	lamp	7
table_654.pcd	table	27
lamp_836.pcd	lamp	7
chair_2035.pcd	chair	-1
lamp_593.pcd	lamp	-1
airplane_1207.pcd	airplane	30
car_848.pcd	car	10
table_2952.pcd	table	-1
table_2001.pcd	table	-1
knife_94.pcd	knife	7
airplane_2367.pcd	airplane	20
car_758.pcd	car	-1
chair_467.pcd	chair	-1
table_956.pcd	table	-1
table_3018.pcd	table	27
chair_3274.pcd	chair	13
airplane_1315.pcd	airplane	26
table_3528.pcd	table	-1
lamp_531.pcd	lamp	7
table_3470.pcd	table	-1
bag_52.pcd	bag	-1
chair_604.pcd	chair	13
pistol_17.pcd	pistol	18
airplane_2124.pcd	airplane	31
table_444.pcd	table	27
cap_35.pcd	cap	0
car_1022.pcd	car	10
airplane_949.pcd	airplane	-1
table_2879.pcd	table	-1
airplane_1579.pcd	airplane	-1
car_74.pcd	car	-1
mug_176.pcd	mug	1
airplane_241.pcd	airplane	-1
airplane_2660.pcd	airplane	-1
table_389.pcd	table	-1
pistol_31.pcd	pistol	18
table_1041.pcd	table	-1
airplane_969.pcd	airplane	17
chair_2637.pcd	chair	-1
motorbike_85.pcd	motorbike	11
table_692.pcd	table	-1
table_4849.pcd	table	-1
table_2757.pcd	table	-1
lamp_432.pcd	lamp	5
table_4407.pcd	table	-1
car_940.pcd	car	10
lamp_1544.pcd	lamp	7
chair_2491.pcd	chair	13
car_1152.pcd	car	10
airplane_1951.pcd	airplane	17
chair_2924.pcd	chair	13
pistol_153.pcd	pistol	18
chair_666.pcd	chair	-1
table_1644.pcd	table	-1
chair_295.pcd	chair	-1
cap_0.pcd	cap	0
table_3358.pcd	table	-1
guitar_693.pcd	guitar	7
chair_16.pcd	chair	-1
airplane_1624.pcd	airplane	-1
table_4934.pcd	table	27
airplane_1906.pcd	airplane	33
airplane_355.pcd	airplane	16
chair_3723.pcd	chair	-1
knife_194.pcd	knife	7
car_120.pcd	car	10
airplane_571.pcd	airplane	33
table_1229.pcd	table	27
table_4837.pcd	table	-1
lamp_1245.pcd	lamp	7
table_1786.pcd	table	27
car_350.pcd	car	-1
airplane_53.pcd	airplane	-1
table_3870.pcd	table	-1
knife_193.pcd	knife	7
airplane_1820.pcd	airplane	-1
guitar_76.pcd	guitar	7
airplane_1566.pcd	airplane	-1
motorbike_173.pcd	motorbike	11
chair_1537.pcd	chair	13
chair_2656.pcd	chair	13
chair_410.pcd	chair	-1
chair_3537.pcd	chair	13
table_1249.pcd	table	-1
lamp_628.pcd	lamp	-1
table_320.pcd	table	-1
lamp_1319.pcd	lamp	7
knife_249.pcd	knife	7
lamp_1469.pcd	lamp	-1
table_3558.pcd	table	27
table_2405.pcd	table	-1
car_1769.pcd	car	10
table_2109.pcd	table	27
chair_1211.pcd	chair	-1
car_831.pcd	car	-1
car_692.pcd	car	10
chair_1838.pcd	chair	-1
table_214.pcd	table	-1
airplane_911.pcd	airplane	-1
chair_237.pcd	chair	-1
airplane_1747.pcd	airplane	-1
lamp_216.pcd	lamp	7
motorbike_25.pcd	motorbike	11
motorbike_51.pcd	motorbike	-1
car_727.pcd	car	10
laptop_323.pcd	laptop	2
table_5148.pcd	table	27
table_2885.pcd	table	-1
table_4916.pcd	table	-1
table_3087.pcd	table	-1
airplane_577.pcd	airplane	-1
table_1167.pcd	table	-1
lamp_1096.pcd	lamp	7
table_3919.pcd	table	-1
knife_169.pcd	knife	7
chair_210.pcd	chair	13
chair_3436.pcd	chair	13
table_1572.pcd	table	-1
airplane_1985.pcd	airplane	-1
chair_1515.pcd	chair	4
chair_1325.pcd	chair	13
airplane_959.pcd	airplane	-1
car_331.pcd	car	-1
table_638.pcd	table	-1
motorbike_61.pcd	motorbike	-1
airplane_1426.pcd	airplane	-1
chair_309.pcd	chair	-1
car_5.pcd	car	10
chair_3625.pcd	chair	13
table_1739.pcd	table	-1
table_1645.pcd	table	-1
car_589.pcd	car	10
guitar_660.pcd	guitar	7
lamp_1518.pcd	lamp	7
lamp_802.pcd	lamp	-1
laptop_287.pcd	laptop	2
guitar_775.pcd	guitar	7
chair_3470.pcd	chair	-1
skateboard_144.pcd	skateboard	9
table_4508.pcd	table	-1
table_2996.pcd	table	6
table_4335.pcd	table	-1
chair_689.pcd	chair	-1
pistol_64.pcd	pistol	18
chair_1263.pcd	chair	-1
airplane_608.pcd	airplane	-1
chair_540.pcd	chair	-1
table_2475.pcd	table	27
table_4878.pcd	table	-1
table_4140.pcd	table	-1
chair_2244.pcd	chair	13
chair_698.pcd	chair	13
table_4296.pcd	table	-1
lamp_922.pcd	lamp	7
airplane_866.pcd	airplane	-1
chair_117.pcd	chair	4
table_4112.pcd	table	-1
chair_606.pcd	chair	13
car_647.pcd	car	10
airplane_410.pcd	airplane	-1
car_784.pcd	car	-1
airplane_2178.pcd	airplane	-1
table_3616.pcd	table	28
chair_1560.pcd	chair	-1
airplane_1507.pcd	airplane	-1
airplane_1821.pcd	airplane	17
lamp_536.pcd	lamp	-1
lamp_36.pcd	lamp	-1
airplane_1285.pcd	airplane	-1
lamp_1105.pcd	lamp	-1
chair_2445.pcd	chair	13
airplane_1726.pcd	airplane	30
knife_15.pcd	knife	7
airplane_362.pcd	airplane	-1
chair_487.pcd	chair	13
motorbike_35.pcd	motorbike	-1
chair_1448.pcd	chair	13
car_269.pcd	car	10
chair_3123.pcd	chair	13
guitar_118.pcd	guitar	7
lamp_1126.pcd	lamp	-1
lamp_1264.pcd	lamp	7
chair_849.pcd	chair	13
car_310.pcd	car	10
chair_2759.pcd	chair	-1
airplane_1238.pcd	airplane	-1
lamp_426.pcd	lamp	7
table_5104.pcd	table	-1
car_79.pcd	car	10
chair_2690.pcd	chair	13
table_2860.pcd	table	-1
pistol_135.pcd	pistol	18
chair_1014.pcd	chair	13
table_201.pcd	table	27
guitar_201.pcd	guitar	7
guitar_73.pcd	guitar	7
motorbike_122.pcd	motorbike	-1
motorbike_71.pcd	motorbike	-1
airplane_1658.pcd	airplane	35
airplane_1229.pcd	airplane	-1
airplane_2593.pcd	airplane	21
table_823.pcd	table	-1
table_3495.pcd	table	-1
laptop_275.pcd	laptop	-1
airplane_2280.pcd	airplane	20
chair_2695.pcd	chair	13
airplane_1856.pcd	airplane	20
guitar_682.pcd	guitar	7
table_138.pcd	table	-1
table_4389.pcd	table	7
airplane_2492.pcd	airplane	-1
table_292.pcd	table	27
table_4416.pcd	table	-1
laptop_51.pcd	laptop	2
chair_233.pcd	chair	-1
chair_814.pcd	chair	-1
chair_1078.pcd	chair	-1
chair_3191.pcd	chair	-1
chair_1730.pcd	chair	13
chair_2042.pcd	chair	13
airplane_578.pcd	airplane	-1
lamp_370.pcd	lamp	7
airplane_1581.pcd	airplane	21
car_1083.pcd	car	10
chair_952.pcd	chair	-1
pistol_82.pcd	pistol	-1
table_4947.pcd	table	-1
motorbike_161.pcd	motorbike	12
chair_2813.pcd	chair	-1
laptop_197.pcd	laptop	2
car_492.pcd	car	10
airplane_1002.pcd	airplane	-1
chair_2717.pcd	chair	-1
car_911.pcd	car	10
laptop_22.pcd	laptop	2
chair_874.pcd	chair	13
airplane_399.pcd	airplane	-1
table_4687.pcd	table	-1
table_2518.pcd	table	-1
guitar_637.pcd	guitar	7
chair_1001.pcd	chair	-1
guitar_523.pcd	guitar	7
chair_2078.pcd	chair	13
lamp_430.pcd	lamp	-1
airplane_132.pcd	airplane	-1
car_840.pcd	car	10
table_137.pcd	table	-1
lamp_1328.pcd	lamp	7
airplane_1290.pcd	airplane	20
table_435.pcd	table	27
lamp_326.pcd	lamp	7
chair_381.pcd	chair	-1
chair_1888.pcd	chair	-1
table_1270.pcd	table	-1
chair_3612.pcd	chair	-1
motorbike_13.pcd	motorbike	-1
table_483.pcd	table	24
pistol_14.pcd	pistol	-1
table_1243.pcd	table	27
chair_3546.pcd	chair	13
table_2563.pcd	table	27
airplane_1273.pcd	airplane	-1
airplane_1688.pcd	airplane	30
table_1660.pcd	table	-1
knife_191.pcd	knife	7
skateboard_2.pcd	skateboard	-1
chair_3642.pcd	chair	13
motorbike_200.pcd	motorbike	-1
chair_2307.pcd	chair	-1
airplane_2612.pcd	airplane	17
table_2485.pcd	table	-1
car_1237.pcd	car	10
chair_1413.pcd	chair	13
airplane_1526.pcd	airplane	16
car_1001.pcd	car	10
pistol_221.pcd	pistol	18
chair_1124.pcd	chair	-1
lamp_686.pcd	lamp	-1
skateboard_46.pcd	skateboard	-1
airplane_2038.pcd	airplane	-1
table_891.pcd	table	-1
lamp_293.pcd	lamp	-1
chair_1614.pcd	chair	13
chair_2496.pcd	chair	-1
chair_630.pcd	chair	13
airplane_153.pcd	airplane	-1
table_4841.pcd	table	-1
car_653.pcd	car	10
table_4959.pcd	table	-1
rocket_4.pcd	rocket	18
airplane_2328.pcd	airplane	31
chair_3089.pcd	chair	-1
table_4353.pcd	table	-1
car_565.pcd	car	10
pistol_199.pcd	pistol	18
chair_620.pcd	chair	13
laptop_21.pcd	laptop	2
chair_2865.pcd	chair	13
airplane_2601.pcd	airplane	-1
chair_2609.pcd	chair	-1
airplane_1305.pcd	airplane	-1
laptop_427.pcd	laptop	2
car_646.pcd	car	-1
airplane_757.pcd	airplane	31
mug_130.pcd	mug	1
skateboard_69.pcd	skateboard	9
mug_49.pcd	mug	1
chair_2044.pcd	chair	13
chair_1958.pcd	chair	13
car_1679.pcd	car	10
table_791.pcd	table	-1
lamp_153.pcd	lamp	-1
table_2722.pcd	table	-1
car_467.pcd	car	10
chair_3655.pcd	chair	4
car_259.pcd	car	10
table_3169.pcd	table	-1
table_2926.pcd	table	-1
skateboard_25.pcd	skateboard	9
airplane_1136.pcd	airplane	17
table_4312.pcd	table	24
lamp_1157.pcd	lamp	7
airplane_2283.pcd	airplane	26
chair_1772.pcd	chair	-1
table_2113.pcd	table	-1
table_2525.pcd	table	24
airplane_346.pcd	airplane	-1
airplane_51.pcd	airplane	-1
table_2678.pcd	table	-1
lamp_638.pcd	lamp	7
car_942.pcd	car	10
chair_466.pcd	chair	13
airplane_1146.pcd	airplane	17
pistol_185.pcd	pistol	18
car_111.pcd	car	10
chair_805.pcd	chair	-1
guitar_192.pcd	guitar	7
chair_973.pcd	chair	-1
table_4643.pcd	table	-1
airplane_2056.pcd	airplane	29
table_3397.pcd	table	-1
chair_2892.pcd	chair	-1
motorbike_8.pcd	motorbike	11
table_4178.pcd	table	27
table_3250.pcd	table	27
airplane_1980.pcd	airplane	-1
airplane_1378.pcd	airplane	-1
table_2596.pcd	table	-1
guitar_710.pcd	guitar	7
airplane_2116.pcd	airplane	-1
table_1767.pcd	table	-1
chair_3745.pcd	chair	-1
pistol_163.pcd	pistol	-1
table_3352.pcd	table	-1
chair_822.pcd	chair	13
table_3971.pcd	table	-1
table_801.pcd	table	-1
guitar_374.pcd	guitar	7
car_1754.pcd	car	10
airplane_701.pcd	airplane	-1
airplane_1417.pcd	airplane	-1
chair_1617.pcd	chair	13
lamp_1273.pcd	lamp	7
table_4280.pcd	table	-1
lamp_204.pcd	lamp	-1
table_4612.pcd	table	-1
lamp_1172.pcd	lamp	-1
chair_1539.pcd	chair	13
table_1038.pcd	table	24
table_1432.pcd	table	-1
table_5011.pcd	table	-1
airplane_28.pcd	airplane	-1
car_276.pcd	car	10
lamp_935.pcd	lamp	-1
chair_2778.pcd	chair	13
car_192.pcd	car	10
lamp_196.pcd	lamp	-1
table_4578.pcd	table	-1
airplane_1188.pcd	airplane	-1
table_2315.pcd	table	-1
table_359.pcd	table	-1
table_3464.pcd	table	-1
table_3828.pcd	table	-1
table_4465.pcd	table	-1
table_3418.pcd	table	-1
guitar_247.pcd	guitar	7
cap_40.pcd	cap	0
car_1284.pcd	car	10
table_2146.pcd	table	-1
knife_151.pcd	knife	7
table_5157.pcd	table	24
pistol_48.pcd	pistol	18
table_665.pcd	table	-1
table_2775.pcd	table	-1
airplane_2071.pcd	airplane	23
lamp_1491.pcd	lamp	7
table_3282.pcd	table	27
chair_505.pcd	chair	-1
table_3498.pcd	table	-1
chair_2340.pcd	chair	-1
car_1552.pcd	car	10
earphone_30.pcd	earphone	-1
table_474.pcd	table	-1
pistol_38.pcd	pistol	18
table_4927.pcd	table	28
table_3981.pcd	table	-1
skateboard_51.pcd	skateboard	9
lamp_846.pcd	lamp	7
car_769.pcd	car	10
car_564.pcd	car	10
table_2823.pcd	table	-1
car_128.pcd	car	10
chair_51.pcd	chair	-1
chair_3196.pcd	chair	-1
table_1825.pcd	table	-1
airplane_1064.pcd	airplane	-1
lamp_784.pcd	lamp	7
table_5203.pcd	table	27
chair_3260.pcd	chair	13
table_695.pcd	table	-1
airplane_496.pcd	airplane	-1
lamp_1089.pcd	lamp	-1
car_1661.pcd	car	10
guitar_62.pcd	guitar	7
guitar_501.pcd	guitar	7
chair_3322.pcd	chair	-1
car_1768.pcd	car	-1
airplane_546.pcd	airplane	19
table_4231.pcd	table	-1
chair_897.pcd	chair	-1
laptop_343.pcd	laptop	2
car_545.pcd	car	10
table_3609.pcd	table	-1
airplane_752.pcd	airplane	-1
chair_3465.pcd	chair	13
laptop_336.pcd	laptop	2
chair_1423.pcd	chair	-1
airplane_912.pcd	airplane	-1
car_1780.pcd	car	10
car_501.pcd	car	10
chair_2950.pcd	chair	4
chair_1845.pcd	chair	13
table_2145.pcd	table	-1
lamp_257.pcd	lamp	7
chair_54.pcd	chair	13
earphone_38.pcd	earphone	-1
chair_3273.pcd	chair	13
airplane_794.pcd	airplane	17
chair_983.pcd	chair	-1
table_1445.pcd	table	24
table_2149.pcd	table	-1
table_1567.pcd	table	-1
chair_2177.pcd	chair	-1
lamp_738.pcd	lamp	-1
chair_2357.pcd	chair	13
table_1513.pcd	table	-1
table_3308.pcd	table	-1
chair_3570.pcd	chair	-1
chair_418.pcd	chair	-1
lamp_595.pcd	lamp	7
car_1655.pcd	car	10
airplane_955.pcd	airplane	-1
chair_148.pcd	chair	13
table_604.pcd	table	-1
chair_1593.pcd	chair	13
car_177.pcd	car	10
table_1420.pcd	table	-1
table_788.pcd	table	-1
table_515.pcd	table	-1
table_3622.pcd	table	-1
airplane_213.pcd	airplane	17
chair_3732.pcd	chair	13
car_712.pcd	car	10
chair_2891.pcd	chair	-1
chair_1681.pcd	chair	13
airplane_214.pcd	airplane	16
lamp_608.pcd	lamp	-1
airplane_1116.pcd	airplane	-1
table_1261.pcd	table	-1
table_512.pcd	table	-1
chair_3000.pcd	chair	-1
airplane_209.pcd	airplane	-1
chair_3701.pcd	chair	-1
chair_42.pcd	chair	-1
table_4873.pcd	table	-1
chair_3705.pcd	chair	13
car_85.pcd	car	10
airplane_1411.pcd	airplane	37
table_486.pcd	table	-1
table_2016.pcd	table	27
table_5209.pcd	table	-1
airplane_881.pcd	airplane	-1
guitar_228.pcd	guitar	7
chair_3654.pcd	chair	-1
table_684.pcd	table	-1
chair_1251.pcd	chair	-1
table_2580.pcd	table	-1
airplane_940.pcd	airplane	32
chair_829.pcd	chair	-1
table_2483.pcd	table	-1
lamp_1127.pcd	lamp	7
chair_413.pcd	chair	13
table_1365.pcd	table	-1
