	FileNames	Class	Clusters
123	guitar_699.pcd	guitar	7
124	guitar_217.pcd	guitar	7
125	pistol_92.pcd	pistol	-1
126	table_171.pcd	table	-1
127	lamp_1267.pcd	lamp	-1
128	airplane_1025.pcd	airplane	-1
129	guitar_511.pcd	guitar	7
130	lamp_136.pcd	lamp	-1
131	table_4644.pcd	table	-1
132	lamp_1153.pcd	lamp	7
133	table_3212.pcd	table	27
134	chair_927.pcd	chair	-1
135	airplane_2512.pcd	airplane	-1
136	airplane_487.pcd	airplane	-1
137	lamp_574.pcd	lamp	-1
138	chair_3644.pcd	chair	-1
139	table_2602.pcd	table	-1
140	table_3674.pcd	table	-1
141	chair_1700.pcd	chair	-1
142	car_1128.pcd	car	10
143	table_2631.pcd	table	27
144	table_1712.pcd	table	-1
145	guitar_232.pcd	guitar	7
146	chair_2127.pcd	chair	4
147	airplane_770.pcd	airplane	-1
148	airplane_1814.pcd	airplane	-1
149	airplane_2651.pcd	airplane	-1
150	table_1277.pcd	table	27
151	car_1579.pcd	car	-1
152	skateboard_121.pcd	skateboard	-1
153	lamp_465.pcd	lamp	7
154	airplane_392.pcd	airplane	-1
155	chair_1571.pcd	chair	13
156	airplane_681.pcd	airplane	-1
157	airplane_1431.pcd	airplane	30
158	table_4303.pcd	table	-1
159	chair_1106.pcd	chair	-1
160	table_826.pcd	table	-1
161	table_1643.pcd	table	-1
162	table_303.pcd	table	-1
163	car_200.pcd	car	10
164	car_655.pcd	car	10
165	table_610.pcd	table	-1
166	guitar_361.pcd	guitar	7
167	lamp_1189.pcd	lamp	-1
168	guitar_500.pcd	guitar	7
169	car_101.pcd	car	10
170	table_3512.pcd	table	-1
171	airplane_1448.pcd	airplane	-1
172	lamp_803.pcd	lamp	-1
173	lamp_691.pcd	lamp	-1
174	laptop_135.pcd	laptop	2
175	lamp_499.pcd	lamp	-1
176	motorbike_147.pcd	motorbike	11
177	airplane_622.pcd	airplane	-1
178	chair_3348.pcd	chair	13
179	lamp_900.pcd	lamp	7
180	car_444.pcd	car	-1
181	table_2643.pcd	table	24
182	car_240.pcd	car	10
183	mug_45.pcd	mug	1
184	chair_1865.pcd	chair	-1
185	table_164.pcd	table	-1
186	lamp_1092.pcd	lamp	-1
187	table_4843.pcd	table	-1
188	chair_1205.pcd	chair	-1
189	guitar_781.pcd	guitar	7
190	knife_247.pcd	knife	7
191	table_4908.pcd	table	27
192	chair_3519.pcd	chair	-1
193	airplane_775.pcd	airplane	20
194	table_4737.pcd	table	-1
195	airplane_523.pcd	airplane	21
196	table_1196.pcd	table	-1
197	chair_1269.pcd	chair	-1
198	chair_3404.pcd	chair	-1
199	lamp_1163.pcd	lamp	7
200	airplane_733.pcd	airplane	-1
201	lamp_619.pcd	lamp	7
202	laptop_82.pcd	laptop	2
203	airplane_376.pcd	airplane	17
204	table_5081.pcd	table	-1
205	table_1412.pcd	table	24
206	table_228.pcd	table	27
207	chair_3543.pcd	chair	13
208	table_1235.pcd	table	-1
209	airplane_1024.pcd	airplane	26
210	chair_1977.pcd	chair	13
211	chair_647.pcd	chair	13
212	table_1051.pcd	table	-1
213	chair_1665.pcd	chair	-1
214	car_1453.pcd	car	10
215	chair_414.pcd	chair	-1
216	pistol_239.pcd	pistol	18
217	airplane_710.pcd	airplane	16
218	table_1964.pcd	table	-1
219	chair_2819.pcd	chair	13
220	lamp_1450.pcd	lamp	-1
221	table_3890.pcd	table	-1
222	table_2925.pcd	table	24
223	chair_1401.pcd	chair	-1
224	table_4715.pcd	table	27
225	lamp_905.pcd	lamp	-1
226	table_3560.pcd	table	-1
227	guitar_603.pcd	guitar	7
228	airplane_1470.pcd	airplane	-1
229	car_63.pcd	car	10
230	knife_389.pcd	knife	7
231	chair_3314.pcd	chair	-1
232	lamp_1075.pcd	lamp	-1
233	table_4583.pcd	table	27
234	table_843.pcd	table	-1
235	airplane_2627.pcd	airplane	37
236	lamp_421.pcd	lamp	7
237	chair_1843.pcd	chair	-1
238	table_2042.pcd	table	24
239	table_2896.pcd	table	-1
240	table_4867.pcd	table	-1
241	airplane_812.pcd	airplane	31
242	chair_370.pcd	chair	13
243	airplane_380.pcd	airplane	-1
244	table_2337.pcd	table	-1
245	chair_5.pcd	chair	13
246	car_1219.pcd	car	10
247	lamp_102.pcd	lamp	-1
248	airplane_1147.pcd	airplane	-1
249	guitar_140.pcd	guitar	7
250	lamp_598.pcd	lamp	-1
251	lamp_1504.pcd	lamp	-1
252	table_442.pcd	table	-1
253	car_616.pcd	car	10
254	airplane_2171.pcd	airplane	-1
255	car_1378.pcd	car	10
256	car_1265.pcd	car	10
257	chair_1646.pcd	chair	-1
258	chair_1294.pcd	chair	13
259	chair_794.pcd	chair	-1
260	chair_3100.pcd	chair	-1
261	guitar_514.pcd	guitar	7
262	car_852.pcd	car	-1
263	airplane_1797.pcd	airplane	-1
264	table_4425.pcd	table	27
265	skateboard_125.pcd	skateboard	9
266	chair_1995.pcd	chair	-1
267	chair_2165.pcd	chair	-1
268	table_3060.pcd	table	27
269	lamp_76.pcd	lamp	-1
270	table_569.pcd	table	-1
271	airplane_548.pcd	airplane	-1
272	table_998.pcd	table	-1
273	chair_2708.pcd	chair	13
274	table_1885.pcd	table	-1
275	table_3103.pcd	table	-1
276	table_2728.pcd	table	-1
277	mug_104.pcd	mug	-1
278	chair_2031.pcd	chair	-1
279	chair_725.pcd	chair	-1
280	airplane_279.pcd	airplane	17
281	chair_3485.pcd	chair	13
282	chair_914.pcd	chair	4
283	pistol_100.pcd	pistol	-1
284	chair_270.pcd	chair	-1
285	airplane_2645.pcd	airplane	-1
286	lamp_727.pcd	lamp	7
287	chair_1497.pcd	chair	-1
288	motorbike_91.pcd	motorbike	11
289	airplane_266.pcd	airplane	-1
290	airplane_2036.pcd	airplane	37
291	table_4910.pcd	table	-1
292	chair_2205.pcd	chair	-1
293	table_3641.pcd	table	-1
294	chair_856.pcd	chair	13
295	table_3783.pcd	table	-1
296	table_1106.pcd	table	-1
297	guitar_647.pcd	guitar	7
298	table_1012.pcd	table	-1
299	table_3977.pcd	table	-1
300	table_256.pcd	table	-1
301	chair_821.pcd	chair	-1
302	knife_263.pcd	knife	-1
303	lamp_351.pcd	lamp	7
304	chair_2065.pcd	chair	13
305	car_1688.pcd	car	10
306	pistol_162.pcd	pistol	18
307	table_3010.pcd	table	-1
308	table_3113.pcd	table	-1
309	airplane_2085.pcd	airplane	-1
310	guitar_13.pcd	guitar	7
311	chair_769.pcd	chair	13
312	skateboard_64.pcd	skateboard	-1
313	table_3631.pcd	table	-1
314	car_1372.pcd	car	10
315	table_2020.pcd	table	-1
316	chair_1753.pcd	chair	13
317	guitar_170.pcd	guitar	7
318	chair_3350.pcd	chair	-1
319	lamp_1296.pcd	lamp	-1
320	table_2360.pcd	table	-1
321	airplane_1353.pcd	airplane	-1
322	table_3388.pcd	table	-1
323	table_1953.pcd	table	27
324	table_1946.pcd	table	-1
325	lamp_468.pcd	lamp	-1
326	table_1080.pcd	table	-1
327	chair_1434.pcd	chair	4
328	skateboard_0.pcd	skateboard	9
329	chair_2747.pcd	chair	-1
330	chair_1081.pcd	chair	13
331	car_1470.pcd	car	10
332	airplane_1390.pcd	airplane	-1
333	airplane_2209.pcd	airplane	32
334	skateboard_81.pcd	skateboard	9
335	mug_131.pcd	mug	-1
336	table_687.pcd	table	27
337	lamp_73.pcd	lamp	7
338	table_4171.pcd	table	-1
339	table_3469.pcd	table	27
340	table_4013.pcd	table	24
341	chair_1615.pcd	chair	-1
342	chair_1686.pcd	chair	13
343	table_3626.pcd	table	-1
344	airplane_1961.pcd	airplane	-1
345	airplane_426.pcd	airplane	38
346	chair_2904.pcd	chair	13
347	table_2136.pcd	table	-1
348	airplane_2114.pcd	airplane	-1
349	airplane_957.pcd	airplane	31
350	knife_109.pcd	knife	7
351	chair_2435.pcd	chair	4
352	car_280.pcd	car	-1
353	laptop_95.pcd	laptop	2
354	table_2659.pcd	table	27
355	mug_65.pcd	mug	1
356	table_1116.pcd	table	-1
357	airplane_1138.pcd	airplane	-1
358	chair_439.pcd	chair	-1
359	chair_2911.pcd	chair	-1
360	motorbike_168.pcd	motorbike	11
361	skateboard_47.pcd	skateboard	9
362	airplane_1756.pcd	airplane	-1
363	table_1497.pcd	table	24
364	chair_1856.pcd	chair	-1
365	car_1461.pcd	car	10
366	table_1516.pcd	table	-1
367	table_1814.pcd	table	-1
368	bag_53.pcd	bag	-1
369	car_449.pcd	car	10
370	pistol_1.pcd	pistol	18
371	chair_1031.pcd	chair	13
372	table_3056.pcd	table	3
373	table_2214.pcd	table	-1
374	chair_544.pcd	chair	-1
375	chair_49.pcd	chair	-1
376	airplane_2401.pcd	airplane	17
377	airplane_1965.pcd	airplane	-1
378	pistol_253.pcd	pistol	-1
379	chair_1555.pcd	chair	13
380	airplane_1189.pcd	airplane	-1
381	table_4006.pcd	table	-1
382	table_1842.pcd	table	-1
383	car_907.pcd	car	10
384	table_914.pcd	table	-1
385	table_3859.pcd	table	-1
386	chair_1930.pcd	chair	-1
387	pistol_139.pcd	pistol	-1
388	chair_2456.pcd	chair	4
389	table_2948.pcd	table	-1
390	pistol_23.pcd	pistol	18
391	table_4467.pcd	table	27
392	car_1390.pcd	car	10
393	skateboard_114.pcd	skateboard	9
394	guitar_305.pcd	guitar	7
395	table_1749.pcd	table	-1
396	table_1110.pcd	table	27
397	airplane_2481.pcd	airplane	17
398	laptop_179.pcd	laptop	2
399	table_3468.pcd	table	-1
400	table_3350.pcd	table	27
401	airplane_631.pcd	airplane	-1
402	guitar_641.pcd	guitar	7
403	table_2404.pcd	table	27
404	car_1173.pcd	car	-1
405	table_5047.pcd	table	-1
406	knife_122.pcd	knife	7
407	chair_3645.pcd	chair	13
408	table_1793.pcd	table	-1
409	car_82.pcd	car	10
410	laptop_289.pcd	laptop	2
411	guitar_332.pcd	guitar	7
412	table_4271.pcd	table	-1
413	car_1717.pcd	car	10
414	table_1454.pcd	table	-1
415	pistol_119.pcd	pistol	18
416	table_4525.pcd	table	-1
417	table_892.pcd	table	-1
418	car_703.pcd	car	10
419	table_1107.pcd	table	-1
420	chair_387.pcd	chair	-1
421	lamp_142.pcd	lamp	7
422	table_654.pcd	table	27
423	lamp_836.pcd	lamp	7
424	chair_2035.pcd	chair	-1
425	lamp_593.pcd	lamp	-1
426	airplane_1207.pcd	airplane	30
427	car_848.pcd	car	10
428	table_2952.pcd	table	-1
429	table_2001.pcd	table	-1
430	knife_94.pcd	knife	7
431	airplane_2367.pcd	airplane	20
432	car_758.pcd	car	-1
433	chair_467.pcd	chair	-1
434	table_956.pcd	table	-1
435	table_3018.pcd	table	27
436	chair_3274.pcd	chair	13
437	airplane_1315.pcd	airplane	26
438	table_3528.pcd	table	-1
439	lamp_531.pcd	lamp	7
440	table_3470.pcd	table	-1
441	bag_52.pcd	bag	-1
442	chair_604.pcd	chair	13
443	pistol_17.pcd	pistol	18
444	airplane_2124.pcd	airplane	31
445	table_444.pcd	table	27
446	cap_35.pcd	cap	0
447	car_1022.pcd	car	10
448	airplane_949.pcd	airplane	-1
449	table_2879.pcd	table	-1
450	airplane_1579.pcd	airplane	-1
451	car_74.pcd	car	-1
452	mug_176.pcd	mug	1
453	airplane_241.pcd	airplane	-1
454	airplane_2660.pcd	airplane	-1
455	table_389.pcd	table	-1
456	pistol_31.pcd	pistol	18
457	table_1041.pcd	table	-1
458	airplane_969.pcd	airplane	17
459	chair_2637.pcd	chair	-1
460	motorbike_85.pcd	motorbike	11
461	table_692.pcd	table	-1
462	table_4849.pcd	table	-1
463	table_2757.pcd	table	-1
464	lamp_432.pcd	lamp	5
465	table_4407.pcd	table	-1
466	car_940.pcd	car	10
467	lamp_1544.pcd	lamp	7
468	chair_2491.pcd	chair	13
469	car_1152.pcd	car	10
470	airplane_1951.pcd	airplane	17
471	chair_2924.pcd	chair	13
472	pistol_153.pcd	pistol	18
473	chair_666.pcd	chair	-1
474	table_1644.pcd	table	-1
475	chair_295.pcd	chair	-1
476	cap_0.pcd	cap	0
477	table_3358.pcd	table	-1
478	guitar_693.pcd	guitar	7
479	chair_16.pcd	chair	-1
480	airplane_1624.pcd	airplane	-1
481	table_4934.pcd	table	27
482	airplane_1906.pcd	airplane	33
483	airplane_355.pcd	airplane	16
484	chair_3723.pcd	chair	-1
485	knife_194.pcd	knife	7
486	car_120.pcd	car	10
487	airplane_571.pcd	airplane	33
488	table_1229.pcd	table	27
489	table_4837.pcd	table	-1
490	lamp_1245.pcd	lamp	7
491	table_1786.pcd	table	27
492	car_350.pcd	car	-1
493	airplane_53.pcd	airplane	-1
494	table_3870.pcd	table	-1
495	knife_193.pcd	knife	7
496	airplane_1820.pcd	airplane	-1
497	guitar_76.pcd	guitar	7
498	airplane_1566.pcd	airplane	-1
499	motorbike_173.pcd	motorbike	11
500	chair_1537.pcd	chair	13
501	chair_2656.pcd	chair	13
502	chair_410.pcd	chair	-1
503	chair_3537.pcd	chair	13
504	table_1249.pcd	table	-1
505	lamp_628.pcd	lamp	-1
506	table_320.pcd	table	-1
507	lamp_1319.pcd	lamp	7
508	knife_249.pcd	knife	7
509	lamp_1469.pcd	lamp	-1
510	table_3558.pcd	table	27
511	table_2405.pcd	table	-1
512	car_1769.pcd	car	10
513	table_2109.pcd	table	27
514	chair_1211.pcd	chair	-1
515	car_831.pcd	car	-1
516	car_692.pcd	car	10
517	chair_1838.pcd	chair	-1
518	table_214.pcd	table	-1
519	airplane_911.pcd	airplane	-1
520	chair_237.pcd	chair	-1
521	airplane_1747.pcd	airplane	-1
522	lamp_216.pcd	lamp	7
523	motorbike_25.pcd	motorbike	11
524	motorbike_51.pcd	motorbike	-1
525	car_727.pcd	car	10
526	laptop_323.pcd	laptop	2
527	table_5148.pcd	table	27
528	table_2885.pcd	table	-1
529	table_4916.pcd	table	-1
530	table_3087.pcd	table	-1
531	airplane_577.pcd	airplane	-1
532	table_1167.pcd	table	-1
533	lamp_1096.pcd	lamp	7
534	table_3919.pcd	table	-1
535	knife_169.pcd	knife	7
536	chair_210.pcd	chair	13
537	chair_3436.pcd	chair	13
538	table_1572.pcd	table	-1
539	airplane_1985.pcd	airplane	-1
540	chair_1515.pcd	chair	4
541	chair_1325.pcd	chair	13
542	airplane_959.pcd	airplane	-1
543	car_331.pcd	car	-1
544	table_638.pcd	table	-1
545	motorbike_61.pcd	motorbike	-1
546	airplane_1426.pcd	airplane	-1
547	chair_309.pcd	chair	-1
548	car_5.pcd	car	10
549	chair_3625.pcd	chair	13
550	table_1739.pcd	table	-1
551	table_1645.pcd	table	-1
552	car_589.pcd	car	10
553	guitar_660.pcd	guitar	7
554	lamp_1518.pcd	lamp	7
555	lamp_802.pcd	lamp	-1
556	laptop_287.pcd	laptop	2
557	guitar_775.pcd	guitar	7
558	chair_3470.pcd	chair	-1
559	skateboard_144.pcd	skateboard	9
560	table_4508.pcd	table	-1
561	table_2996.pcd	table	6
562	table_4335.pcd	table	-1
563	chair_689.pcd	chair	-1
564	pistol_64.pcd	pistol	18
565	chair_1263.pcd	chair	-1
566	airplane_608.pcd	airplane	-1
567	chair_540.pcd	chair	-1
568	table_2475.pcd	table	27
569	table_4878.pcd	table	-1
570	table_4140.pcd	table	-1
571	chair_2244.pcd	chair	13
572	chair_698.pcd	chair	13
573	table_4296.pcd	table	-1
574	lamp_922.pcd	lamp	7
575	airplane_866.pcd	airplane	-1
576	chair_117.pcd	chair	4
577	table_4112.pcd	table	-1
578	chair_606.pcd	chair	13
579	car_647.pcd	car	10
580	airplane_410.pcd	airplane	-1
581	car_784.pcd	car	-1
582	airplane_2178.pcd	airplane	-1
583	table_3616.pcd	table	28
584	chair_1560.pcd	chair	-1
585	airplane_1507.pcd	airplane	-1
586	airplane_1821.pcd	airplane	17
587	lamp_536.pcd	lamp	-1
588	lamp_36.pcd	lamp	-1
589	airplane_1285.pcd	airplane	-1
590	lamp_1105.pcd	lamp	-1
591	chair_2445.pcd	chair	13
592	airplane_1726.pcd	airplane	30
593	knife_15.pcd	knife	7
594	airplane_362.pcd	airplane	-1
595	chair_487.pcd	chair	13
596	motorbike_35.pcd	motorbike	-1
597	chair_1448.pcd	chair	13
598	car_269.pcd	car	10
599	chair_3123.pcd	chair	13
600	guitar_118.pcd	guitar	7
601	lamp_1126.pcd	lamp	-1
602	lamp_1264.pcd	lamp	7
603	chair_849.pcd	chair	13
604	car_310.pcd	car	10
605	chair_2759.pcd	chair	-1
606	airplane_1238.pcd	airplane	-1
607	lamp_426.pcd	lamp	7
608	table_5104.pcd	table	-1
609	car_79.pcd	car	10
610	chair_2690.pcd	chair	13
611	table_2860.pcd	table	-1
612	pistol_135.pcd	pistol	18
613	chair_1014.pcd	chair	13
614	table_201.pcd	table	27
615	guitar_201.pcd	guitar	7
616	guitar_73.pcd	guitar	7
617	motorbike_122.pcd	motorbike	-1
618	motorbike_71.pcd	motorbike	-1
619	airplane_1658.pcd	airplane	35
620	airplane_1229.pcd	airplane	-1
621	airplane_2593.pcd	airplane	21
622	table_823.pcd	table	-1
623	table_3495.pcd	table	-1
624	laptop_275.pcd	laptop	-1
625	airplane_2280.pcd	airplane	20
626	chair_2695.pcd	chair	13
627	airplane_1856.pcd	airplane	20
628	guitar_682.pcd	guitar	7
629	table_138.pcd	table	-1
630	table_4389.pcd	table	7
631	airplane_2492.pcd	airplane	-1
632	table_292.pcd	table	27
633	table_4416.pcd	table	-1
634	laptop_51.pcd	laptop	2
635	chair_233.pcd	chair	-1
636	chair_814.pcd	chair	-1
637	chair_1078.pcd	chair	-1
638	chair_3191.pcd	chair	-1
639	chair_1730.pcd	chair	13
640	chair_2042.pcd	chair	13
641	airplane_578.pcd	airplane	-1
642	lamp_370.pcd	lamp	7
643	airplane_1581.pcd	airplane	21
644	car_1083.pcd	car	10
645	chair_952.pcd	chair	-1
646	pistol_82.pcd	pistol	-1
647	table_4947.pcd	table	-1
648	motorbike_161.pcd	motorbike	12
649	chair_2813.pcd	chair	-1
650	laptop_197.pcd	laptop	2
651	car_492.pcd	car	10
652	airplane_1002.pcd	airplane	-1
653	chair_2717.pcd	chair	-1
654	car_911.pcd	car	10
655	laptop_22.pcd	laptop	2
656	chair_874.pcd	chair	13
657	airplane_399.pcd	airplane	-1
658	table_4687.pcd	table	-1
659	table_2518.pcd	table	-1
660	guitar_637.pcd	guitar	7
661	chair_1001.pcd	chair	-1
662	guitar_523.pcd	guitar	7
663	chair_2078.pcd	chair	13
664	lamp_430.pcd	lamp	-1
665	airplane_132.pcd	airplane	-1
666	car_840.pcd	car	10
667	table_137.pcd	table	-1
668	lamp_1328.pcd	lamp	7
669	airplane_1290.pcd	airplane	20
670	table_435.pcd	table	27
671	lamp_326.pcd	lamp	7
672	chair_381.pcd	chair	-1
673	chair_1888.pcd	chair	-1
674	table_1270.pcd	table	-1
675	chair_3612.pcd	chair	-1
676	motorbike_13.pcd	motorbike	-1
677	table_483.pcd	table	24
678	pistol_14.pcd	pistol	-1
679	table_1243.pcd	table	27
680	chair_3546.pcd	chair	13
681	table_2563.pcd	table	27
682	airplane_1273.pcd	airplane	-1
683	airplane_1688.pcd	airplane	30
684	table_1660.pcd	table	-1
685	knife_191.pcd	knife	7
686	skateboard_2.pcd	skateboard	-1
687	chair_3642.pcd	chair	13
688	motorbike_200.pcd	motorbike	-1
689	chair_2307.pcd	chair	-1
690	airplane_2612.pcd	airplane	17
691	table_2485.pcd	table	-1
692	car_1237.pcd	car	10
693	chair_1413.pcd	chair	13
694	airplane_1526.pcd	airplane	16
695	car_1001.pcd	car	10
696	pistol_221.pcd	pistol	18
697	chair_1124.pcd	chair	-1
698	lamp_686.pcd	lamp	-1
699	skateboard_46.pcd	skateboard	-1
700	airplane_2038.pcd	airplane	-1
701	table_891.pcd	table	-1
702	lamp_293.pcd	lamp	-1
703	chair_1614.pcd	chair	13
704	chair_2496.pcd	chair	-1
705	chair_630.pcd	chair	13
706	airplane_153.pcd	airplane	-1
707	table_4841.pcd	table	-1
708	car_653.pcd	car	10
709	table_4959.pcd	table	-1
710	rocket_4.pcd	rocket	18
711	airplane_2328.pcd	airplane	31
712	chair_3089.pcd	chair	-1
713	table_4353.pcd	table	-1
714	car_565.pcd	car	10
715	pistol_199.pcd	pistol	18
716	chair_620.pcd	chair	13
717	laptop_21.pcd	laptop	2
718	chair_2865.pcd	chair	13
719	airplane_2601.pcd	airplane	-1
720	chair_2609.pcd	chair	-1
721	airplane_1305.pcd	airplane	-1
722	laptop_427.pcd	laptop	2
723	car_646.pcd	car	-1
724	airplane_757.pcd	airplane	31
725	mug_130.pcd	mug	1
726	skateboard_69.pcd	skateboard	9
727	mug_49.pcd	mug	1
728	chair_2044.pcd	chair	13
729	chair_1958.pcd	chair	13
730	car_1679.pcd	car	10
731	table_791.pcd	table	-1
732	lamp_153.pcd	lamp	-1
733	table_2722.pcd	table	-1
734	car_467.pcd	car	10
735	chair_3655.pcd	chair	4
736	car_259.pcd	car	10
737	table_3169.pcd	table	-1
738	table_2926.pcd	table	-1
739	skateboard_25.pcd	skateboard	9
740	airplane_1136.pcd	airplane	17
741	table_4312.pcd	table	24
742	lamp_1157.pcd	lamp	7
743	airplane_2283.pcd	airplane	26
744	chair_1772.pcd	chair	-1
745	table_2113.pcd	table	-1
746	table_2525.pcd	table	24
747	airplane_346.pcd	airplane	-1
748	airplane_51.pcd	airplane	-1
749	table_2678.pcd	table	-1
750	lamp_638.pcd	lamp	7
751	car_942.pcd	car	10
752	chair_466.pcd	chair	13
753	airplane_1146.pcd	airplane	17
754	pistol_185.pcd	pistol	18
755	car_111.pcd	car	10
756	chair_805.pcd	chair	-1
757	guitar_192.pcd	guitar	7
758	chair_973.pcd	chair	-1
759	table_4643.pcd	table	-1
760	airplane_2056.pcd	airplane	29
761	table_3397.pcd	table	-1
762	chair_2892.pcd	chair	-1
763	motorbike_8.pcd	motorbike	11
764	table_4178.pcd	table	27
765	table_3250.pcd	table	27
766	airplane_1980.pcd	airplane	-1
767	airplane_1378.pcd	airplane	-1
768	table_2596.pcd	table	-1
769	guitar_710.pcd	guitar	7
770	airplane_2116.pcd	airplane	-1
771	table_1767.pcd	table	-1
772	chair_3745.pcd	chair	-1
773	pistol_163.pcd	pistol	-1
774	table_3352.pcd	table	-1
775	chair_822.pcd	chair	13
776	table_3971.pcd	table	-1
777	table_801.pcd	table	-1
778	guitar_374.pcd	guitar	7
779	car_1754.pcd	car	10
780	airplane_701.pcd	airplane	-1
781	airplane_1417.pcd	airplane	-1
782	chair_1617.pcd	chair	13
783	lamp_1273.pcd	lamp	7
784	table_4280.pcd	table	-1
785	lamp_204.pcd	lamp	-1
786	table_4612.pcd	table	-1
787	lamp_1172.pcd	lamp	-1
788	chair_1539.pcd	chair	13
789	table_1038.pcd	table	24
790	table_1432.pcd	table	-1
791	table_5011.pcd	table	-1
792	airplane_28.pcd	airplane	-1
793	car_276.pcd	car	10
794	lamp_935.pcd	lamp	-1
795	chair_2778.pcd	chair	13
796	car_192.pcd	car	10
797	lamp_196.pcd	lamp	-1
798	table_4578.pcd	table	-1
799	airplane_1188.pcd	airplane	-1
800	table_2315.pcd	table	-1
801	table_359.pcd	table	-1
802	table_3464.pcd	table	-1
803	table_3828.pcd	table	-1
804	table_4465.pcd	table	-1
805	table_3418.pcd	table	-1
806	guitar_247.pcd	guitar	7
807	cap_40.pcd	cap	0
808	car_1284.pcd	car	10
809	table_2146.pcd	table	-1
810	knife_151.pcd	knife	7
811	table_5157.pcd	table	24
812	pistol_48.pcd	pistol	18
813	table_665.pcd	table	-1
